epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12964.6,1.01053,0.42255,0.15638,0.52632,0.43743,0.42184,0.25028,0.77033,0.47891,0.09172,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13358.7,0.99842,0.42392,0.15452,0.53984,0.42824,0.41827,0.24635,0.78061,0.48011,0.09394,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13751.7,1.00332,0.42247,0.15137,0.53032,0.43787,0.42436,0.25006,0.77292,0.48083,0.09397,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14145.6,0.99308,0.42284,0.15338,0.51685,0.44927,0.43199,0.2562,0.75626,0.48152,0.09046,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14539.6,0.96835,0.42802,0.14151,0.52198,0.44311,0.42525,0.25256,0.76706,0.4773,0.09267,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14934.3,0.97116,0.42589,0.14403,0.53333,0.44703,0.43328,0.25655,0.75768,0.47959,0.08974,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15329,0.95577,0.42719,0.13962,0.52937,0.44459,0.43278,0.25786,0.75288,0.48019,0.08961,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15726.3,0.96336,0.42534,0.14152,0.52597,0.46063,0.43938,0.26239,0.7547,0.47984,0.09115,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,16119.2,0.9564,0.42533,0.13922,0.55119,0.44545,0.43962,0.26241,0.74518,0.4815,0.08735,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16513.1,0.94802,0.42815,0.13608,0.54789,0.45253,0.4435,0.26525,0.74146,0.4813,0.08708,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,16905.9,0.94568,0.42669,0.14085,0.53318,0.46178,0.44453,0.26469,0.74102,0.48147,0.08699,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17299,0.94887,0.42622,0.13991,0.54862,0.45566,0.44665,0.268,0.75032,0.47838,0.09025,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17692.6,0.94371,0.42629,0.13739,0.55089,0.46035,0.45304,0.27134,0.73227,0.48314,0.08446,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,18088.7,0.94288,0.42608,0.14164,0.55685,0.45793,0.45153,0.27045,0.73529,0.47908,0.08558,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18482.2,0.93037,0.4255,0.13854,0.5497,0.46716,0.45473,0.27252,0.72425,0.48277,0.0827,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,18875.5,0.93306,0.42516,0.13649,0.54808,0.4674,0.45442,0.27229,0.73371,0.4795,0.08567,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19269.1,0.91892,0.42782,0.12992,0.54325,0.47424,0.45733,0.27378,0.73253,0.48283,0.08636,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,19665.4,0.91294,0.42728,0.13119,0.56531,0.46147,0.45862,0.27538,0.72289,0.48349,0.08269,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,20060.5,0.91014,0.42725,0.13196,0.54144,0.46973,0.45448,0.27359,0.71925,0.48465,0.08458,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20453.1,0.90451,0.42897,0.12788,0.54784,0.46955,0.46093,0.27655,0.70888,0.48604,0.08,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20849.2,0.89643,0.43114,0.12442,0.55095,0.47205,0.46294,0.27929,0.70908,0.48521,0.08123,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,21243.2,0.89586,0.42947,0.12644,0.55439,0.46998,0.46213,0.2785,0.7085,0.48691,0.08194,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,21635.7,0.89752,0.42697,0.12819,0.5617,0.47764,0.46677,0.28068,0.70496,0.48531,0.07907,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,22028.4,0.8837,0.43016,0.12375,0.55944,0.47757,0.46567,0.27958,0.70677,0.48526,0.08081,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22420.3,0.87967,0.43006,0.12036,0.55083,0.48281,0.46741,0.28069,0.70214,0.48728,0.07991,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,22813.5,0.88613,0.42928,0.12319,0.56465,0.47606,0.46737,0.28272,0.70485,0.48481,0.08103,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23206.7,0.87107,0.43162,0.11848,0.55773,0.48159,0.46887,0.28364,0.70341,0.48548,0.08093,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23600.8,0.87295,0.42978,0.11845,0.56159,0.47748,0.4708,0.2842,0.69922,0.48597,0.07788,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,23994.6,0.87408,0.42885,0.12239,0.56573,0.48411,0.47368,0.28471,0.69722,0.4871,0.0778,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24387.7,0.85729,0.43163,0.11553,0.55934,0.48238,0.47179,0.28453,0.69691,0.4875,0.07859,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24779.5,0.84934,0.43281,0.11164,0.5583,0.49075,0.47545,0.2871,0.69292,0.48666,0.07767,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
