epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1
1,575.29,0.85358,0.46567,0.08941,0.51184,0.43573,0.41448,0.24177,0.70937,0.51535,0.07293,0.0001,0.0001
2,1163.02,0.85226,0.46455,0.08869,0.51119,0.43544,0.41452,0.24175,0.7094,0.51529,0.07294,0.0001,0.0001
3,1731.43,0.85628,0.46389,0.08919,0.51121,0.43531,0.41441,0.24173,0.7093,0.51533,0.07293,0.0001,0.0001
