epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1
1,577.308,0.85358,0.46567,0.08941,0.51192,0.43583,0.41448,0.24177,0.7094,0.51536,0.07293,0.0001,0.0001
2,1159.87,0.85227,0.46454,0.08869,0.51124,0.4355,0.41453,0.24176,0.7094,0.51528,0.07294,0.0001,0.0001
