epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1
1,599.286,0.85356,0.46567,0.08941,0.51104,0.43583,0.41443,0.24173,0.70943,0.51532,0.07298,0.0001,0.0001
2,1208.16,0.85218,0.46456,0.08869,0.51051,0.43535,0.41413,0.24167,0.70936,0.51526,0.07296,0.0001,0.0001
3,1801.18,0.85627,0.46388,0.08921,0.51035,0.43534,0.41408,0.24164,0.70939,0.51523,0.07298,0.0001,0.0001
