epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1
1,411.571,0.72773,0.4857,0.06326,0.51164,0.43562,0.41446,0.24177,0.70942,0.51534,0.07294,0.0001,0.0001
2,824.497,0.72813,0.48572,0.06349,0.51136,0.43548,0.41455,0.24175,0.70937,0.51529,0.07293,0.0001,0.0001
