epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,589.75,2.38126,0.22529,0.84768,0.02054,0.04624,0.00418,0.00101,1.90656,0.24153,0.48805,0.000237339,0.000237339,0.000237339
2,1069.05,2.03535,0.24588,0.5607,0.15442,0.11175,0.02354,0.00984,1.59204,0.42233,0.334,0.000470224,0.000470224,0.000470224
3,1528.32,1.85756,0.34319,0.45297,0.06366,0.15503,0.03683,0.01686,1.5517,0.43248,0.28956,0.000697987,0.000697987,0.000697987
4,1949.95,1.74462,0.37619,0.39189,0.11349,0.15919,0.06399,0.03163,1.39339,0.4826,0.24824,0.00069095,0.00069095,0.00069095
5,2328.53,1.62861,0.40639,0.34011,0.13536,0.18577,0.08537,0.0426,1.26734,0.48975,0.19869,0.000683267,0.000683267,0.000683267
