epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,16813.1,1.19265,0.41903,0.14115,0,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,17169.5,1.17549,0.4214,0.13718,0,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17525.4,1.20202,0.40793,0.13585,0,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17883.1,1.22433,0.40335,0.14231,0,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,18238.8,1.15766,0.42141,0.13093,0,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,18594.9,1.25606,0.39155,0.14559,0,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18951.4,1.32524,0.36921,0.15526,0,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,19308.3,1.44734,0.33481,0.17328,0,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,19666.3,1.56045,0.31238,0.20758,0,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,20021.6,1.10292,0.43486,0.12436,0,0,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,20377.3,1.06677,0.44536,0.12017,0,0,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,20735,1.10718,0.42905,0.12246,0,0,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,21091,1.13136,0.42327,0.12291,0,0,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,21447,1.47321,0.3217,0.1669,0,0,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,21804.6,1.35924,0.35872,0.1652,0,0,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,22160.4,1.27601,0.37916,0.14109,0,0,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,22516.6,1.31512,0.36795,0.14631,0,0,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,22872.1,1.23141,0.38736,0.13521,0,0,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,23228.8,1.23163,0.39939,0.13721,0,0,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,23585.6,1.08862,0.42988,0.11811,0,0,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,23941.2,1.0357,0.44342,0.11183,0,0,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,24297.1,1.14328,0.4136,0.12188,0,0,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,24653,1.36411,0.35125,0.14425,0,0,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,25009.2,1.54041,0.32277,0.18897,0,0,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,25364.6,1.15105,0.41123,0.12056,0,0,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,25721.2,1.38478,0.34844,0.15667,0,0,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
