epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1
1,604.611,0.85356,0.46565,0.08941,0.51119,0.43526,0.41424,0.24173,0.70933,0.51536,0.07296,0.0001,0.0001
2,1218.47,0.8522,0.46451,0.08875,0.51094,0.43529,0.41413,0.24164,0.70937,0.51531,0.07299,0.0001,0.0001
3,1813.97,0.85628,0.46387,0.08926,0.51039,0.43493,0.41406,0.2416,0.70936,0.51541,0.07304,0.0001,0.0001
