epoch,precision,recall,f1,ap50,ap75,map50_95,loss_bpdd,loss_ra_support,loss_ra_scale,fdr_gradient_norm,ra_glgm_gradient_norm,amp_skipped_steps,cuda_peak_mib,epoch_wall_seconds
1,0.30069,0.00485,0.009546026706814165,4e-05,1.824817518248175e-07,1e-05,0.00018096565327141434,0.05901450291275978,1.0880886316299438,41.9074821472168,0.04518949240446091,0,12045.82,699.057
2,0.01877,0.03136,0.023484029523239577,0.00396,0.00016704650349164333,0.00112,0.0005129975616000593,0.016994202509522438,1.052774429321289,65.6681900024414,0.10513350367546082,0,13490.06,527.045
3,0.15963,0.09919,0.12235298431342245,0.0244,0.008287114856560121,0.01072,0.013141642324626446,0.00965975970029831,0.9190234541893005,117.13919067382812,0.2033137083053589,0,10912.29,488.476
4,0.19547,0.14,0.1631490148150356,0.04888,0.02187865565476058,0.02384,0.04366658255457878,0.0081510404124856,0.7188211679458618,55.792057037353516,0.16329097747802734,0,13368.11,477.523
5,0.13491,0.17141,0.1509853950117524,0.07325,0.037227281205830125,0.03874,0.06301149725914001,0.008633207529783249,0.6149920225143433,124.74031066894531,0.18713723123073578,0,11877.78,466.925
6,0.1743,0.19555,0.18431453291875086,0.10414,0.05355768980667909,0.05636,0.03293854370713234,0.0072431741282343864,0.5563694834709167,94.63700866699219,0.24243994057178497,0,16001.7,483.274
7,0.20318,0.23311,0.21711838364390657,0.12854,0.06880003273159818,0.07104,0.04894161596894264,0.009533005766570568,0.5222761631011963,150.10830688476562,0.1893826425075531,0,16139.5,614.843
8,0.23186,0.24699,0.2391859722251227,0.15719,0.08004379816080995,0.0854,0.0411420539021492,0.007295586634427309,0.49239423871040344,116.70939636230469,0.11909829080104828,0,11020.54,467.361
9,0.25703,0.24898,0.25294096717456177,0.17048,0.09375303553979893,0.09587,0.06286527961492538,0.008859828114509583,0.4665379822254181,118.92173767089844,0.25133681297302246,0,13923.55,602.0
10,0.27188,0.27465,0.27325798034874577,0.19495,0.10789430848128563,0.10971,0.03963010758161545,0.006398036610335112,0.4527837038040161,127.85067749023438,0.20222263038158417,0,15028.31,497.078
11,0.29336,0.284,0.28860412913953165,0.20968,0.11452227256416256,0.11796,0.04189804196357727,0.009260620921850204,0.4380830228328705,130.1551055908203,0.2900928556919098,0,12117.66,569.019
12,0.30427,0.30038,0.302312486893244,0.22086,0.12244209166599189,0.12511,0.06117953360080719,0.005713342688977718,0.42759284377098083,113.59014129638672,0.1657497137784958,0,10763.83,488.226
13,0.32123,0.30288,0.3117852378587109,0.2335,0.1299452888086521,0.13224,0.07867040485143661,0.009690790437161922,0.41701164841651917,133.263671875,0.16499678790569305,0,11985.62,457.186
14,0.3555,0.31415,0.33354834615097434,0.25399,0.1421299217520265,0.14457,0.05167790874838829,0.007983160205185413,0.4066965878009796,136.1488494873047,0.23343093693256378,0,11615.29,489.738
15,0.35424,0.32114,0.33687889365986556,0.26444,0.1522367566957588,0.15357,0.04376555234193802,0.006590771023184061,0.401214599609375,126.48238372802734,0.20739895105361938,0,16034.39,475.776
16,0.38083,0.32851,0.35274047226999744,0.27754,0.16078910111445138,0.16154,0.05723011866211891,0.015330588445067406,0.39467066526412964,136.7378692626953,0.2746056914329529,0,13281.68,492.898
17,0.39131,0.34542,0.3669357843443324,0.29202,0.16642270554342378,0.16825,0.09282045066356659,0.011116965673863888,0.3883734345436096,158.11666870117188,0.37309592962265015,0,12040.15,463.112
18,0.39905,0.34749,0.37148949687893484,0.30348,0.17576445917070466,0.17577,0.0830112025141716,0.01177981123328209,0.3865912854671478,106.02281951904297,0.4016032814979553,0,10504.26,473.821
19,0.41837,0.35255,0.3826501932755668,0.31157,0.1782947392685869,0.1808,0.10372360050678253,0.011241260915994644,0.3812989294528961,135.3046875,0.44031181931495667,0,9491.06,457.315
20,0.42004,0.35779,0.3864240556419783,0.31484,0.18267894451210384,0.18341,0.07007812708616257,0.01698159985244274,0.3780527412891388,116.19507598876953,0.5011268258094788,0,11018.41,462.763
21,0.41374,0.37509,0.39346814041048134,0.33244,0.1897848117605607,0.19209,0.046763308346271515,0.016417600214481354,0.37814193964004517,84.40541076660156,0.5307720899581909,0,14807.53,463.248
22,0.41954,0.37206,0.3943760798383022,0.32987,0.19123997572260212,0.19341,0.06309650838375092,0.012016737833619118,0.36692216992378235,138.8819580078125,0.5942304730415344,0,13327.31,494.701
23,0.43675,0.37837,0.40546937260771415,0.33983,0.1997397118167009,0.19946,0.09262062609195709,0.010170062072575092,0.36797279119491577,123.90451049804688,0.7177187204360962,0,11189.55,460.092
24,0.44715,0.38334,0.4127936061843009,0.34793,0.2012309672499828,0.20318,0.06905408203601837,0.013903304934501648,0.36744430661201477,144.50289916992188,0.9332849383354187,0,11830.84,460.455
25,0.45329,0.39658,0.4230429317425018,0.36196,0.2098314052114676,0.21098,0.1110234409570694,0.02101270668208599,0.36432069540023804,133.8747100830078,0.9951213002204895,0,13787.13,477.695
26,0.45886,0.39591,0.425067006563169,0.36046,0.21171243360457948,0.21186,0.03952641040086746,0.015993908047676086,0.3589799404144287,125.29781341552734,0.9951851963996887,0,9899.09,496.599
27,0.46006,0.39422,0.42460283092194595,0.36674,0.21500902811275338,0.21484,0.0829966813325882,0.021287374198436737,0.35691553354263306,150.1412811279297,1.289773941040039,0,11731.91,622.045
28,0.46937,0.3993,0.43150895276687345,0.37667,0.22215881467803156,0.22215,0.12039210647344589,0.02754732221364975,0.3586271405220032,163.97267150878906,1.204405426979065,0,11793.9,486.032
29,0.47236,0.39923,0.43272704551451946,0.3734,0.22174515827085356,0.21998,0.07420682907104492,0.013033864088356495,0.3592120110988617,172.18370056152344,1.2269376516342163,0,13390.58,511.761
30,0.48773,0.40714,0.4438061220065484,0.38913,0.22833261874611396,0.22849,0.033221255987882614,0.020135441794991493,0.356739342212677,137.31214904785156,1.121566891670227,0,10649.4,596.11
31,0.48634,0.41364,0.44705366252583395,0.38322,0.22802115939355666,0.22595,0.07246755808591843,0.021560033783316612,0.35721635818481445,64.0840072631836,1.3295551538467407,0,15684.0,486.851
32,0.49572,0.41818,0.4536605527957107,0.39778,0.2339075363661413,0.23429,0.04722384363412857,0.0344911552965641,0.3532692492008209,149.48463439941406,1.2451481819152832,0,12964.02,594.554
33,0.48856,0.42319,0.45353157422539075,0.39716,0.23490176546075703,0.23496,0.049118779599666595,0.02748185396194458,0.3518964350223541,105.40984344482422,1.2665601968765259,0,13284.51,485.037
