completed_epoch,variant,stage,run_id,precision,recall,map50,map,map75,loss_giou,loss_class,loss_bbox,loss_fgl,loss_fgl_aux,loss_bbox_pre,loss_giou_pre,gradient_norm,fdr_gradient_norm,cuda_peak_mib
1,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,1e-05,0.00205,0.0,0.0,0.0,2.3296971321105957,1.3067657947540283,0.8861374258995056,0.16658207774162292,0.8277578949928284,0.9212486743927002,2.276494026184082,1005.1436157226562,69.3461685180664,10793.08
2,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.00019,0.00059,0.0,0.0,0.0,2.333082675933838,0.31381672620773315,0.9767749905586243,0.12059056013822556,0.6008875966072083,1.0968818664550781,2.438154697418213,54.611751556396484,73.33031463623047,8484.33
3,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.00036,0.00228,1e-05,0.0,1.6721645811875463e-07,2.5503957271575928,0.0747150257229805,1.2036479711532593,0.08722945302724838,0.44026538729667664,1.8017147779464722,3.059544324874878,23.918054580688477,66.89004516601562,10442.45
4,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.00135,0.00538,4e-05,1e-05,2.3326335432703524e-07,2.5312016010284424,0.06831232458353043,0.9369598031044006,0.21769140660762787,1.1416939496994019,0.7137153744697571,2.20284366607666,43.91915512084961,76.04237365722656,9089.28
5,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.00065,0.0052,0.00016,2e-05,2.645502645502645e-06,2.3597095012664795,0.08624587953090668,0.85905522108078,0.2294764518737793,1.1567598581314087,0.6813816428184509,2.079556465148926,51.17047119140625,53.77201461791992,8851.3
6,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.70237,0.00155,0.00011,2e-05,3.246753246753247e-06,2.3281137943267822,0.09785757213830948,0.7348849773406982,0.1566232144832611,0.7993223667144775,0.9157984256744385,2.492478609085083,39.22026062011719,105.11344146728516,9643.76
7,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.00037,0.00364,4e-05,1e-05,4.261111395369136e-07,2.3771979808807373,0.09676612168550491,0.7246290445327759,0.220152348279953,1.0916210412979126,0.6586157083511353,2.310685873031616,25.689388275146484,98.05274963378906,9447.62
8,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.30148,0.00406,0.00016,3e-05,1.7370594971282933e-05,2.290870428085327,0.10147632658481598,0.7707120776176453,0.19612130522727966,0.9942917823791504,0.6724885106086731,2.2838222980499268,34.61336135864258,97.10807800292969,8223.39
9,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.00373,0.0244,0.00066,0.00012,3.499678338388016e-06,2.370913505554199,0.10050399601459503,0.7803588509559631,0.3237077295780182,1.6273688077926636,0.5566588640213013,2.0645840167999268,16.98160171508789,112.42914581298828,8671.07
10,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.00548,0.02534,0.00142,0.00027,2.6167661940590545e-05,2.3249688148498535,0.13033846020698547,0.7250598669052124,0.24361693859100342,1.2266753911972046,0.8465670943260193,2.373699426651001,13.29658317565918,88.98358917236328,8107.13
11,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.51743,0.02353,0.0028,0.00057,1.9110361737888855e-05,2.339991569519043,0.1336963027715683,0.7421656250953674,0.35126709938049316,1.7622061967849731,0.6316187381744385,2.1579740047454834,13.502047538757324,79.3302230834961,8762.19
12,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.00913,0.02327,0.00135,0.00027,2.6473463456466044e-05,2.227778434753418,0.14924576878547668,0.6813402771949768,0.3546959459781647,1.8232742547988892,0.5295625925064087,2.065764904022217,12.723554611206055,83.23638153076172,8638.22
13,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.53131,0.01528,0.00328,0.00069,0.00012226639031787397,2.216417074203491,0.14518600702285767,0.665618360042572,0.22677060961723328,1.1144273281097412,0.7571898102760315,2.4068539142608643,21.16546630859375,116.25628662109375,8663.09
14,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.01541,0.06195,0.00706,0.0016,0.00021196385460555523,2.104243755340576,0.166199192404747,0.6711722612380981,0.4496046304702759,2.20576810836792,0.4744613766670227,1.8740962743759155,22.684917449951172,130.0915985107422,8632.88
15,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.02368,0.03695,0.00623,0.00146,0.00012391564933908293,2.126746654510498,0.18640567362308502,0.6248299479484558,0.31571346521377563,1.4707398414611816,0.6021425724029541,2.239576816558838,22.619569778442383,114.11434936523438,8498.44
16,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.02712,0.07623,0.01286,0.00348,0.00043801899818132734,2.033388376235962,0.22121809422969818,0.5637897849082947,0.3501223921775818,1.6344490051269531,0.5570041537284851,2.1389501094818115,24.04837989807129,94.4886703491211,10384.7
17,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.03207,0.08739,0.01412,0.00439,0.0015055126863903492,2.024667739868164,0.24845761060714722,0.5389088988304138,0.5074955821037292,2.4559102058410645,0.5068396329879761,1.8897093534469604,19.067651748657227,96.07154846191406,8916.6
18,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.02995,0.09862,0.01574,0.00531,0.0024210881534822894,1.9957305192947388,0.2576755881309509,0.5178296566009521,0.4327603280544281,2.042973279953003,0.42936819791793823,1.9449440240859985,35.75658416748047,105.16255950927734,8382.4
19,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.14074,0.07889,0.01546,0.00537,0.0026732410448646613,1.9864929914474487,0.27942630648612976,0.5276364684104919,0.5476539731025696,2.6755762100219727,0.6647346019744873,1.9710462093353271,33.453548431396484,100.72919464111328,9237.87
20,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.04872,0.07985,0.02013,0.00718,0.0036720095658205843,2.005117654800415,0.27549445629119873,0.5013793706893921,0.5282459259033203,2.488373041152954,0.4568944275379181,1.972172498703003,43.327274322509766,161.9285430908203,8944.01
21,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.0514,0.09887,0.02329,0.00866,0.004734487218268804,1.9376146793365479,0.2874777019023895,0.48358744382858276,0.4653666317462921,2.321669340133667,0.517925500869751,2.017615795135498,49.01716995239258,105.03197479248047,8194.54
22,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.04054,0.10491,0.02045,0.00858,0.006297283443194047,1.891908049583435,0.30690479278564453,0.4688582420349121,0.659943699836731,3.282830238342285,0.38516634702682495,1.6961960792541504,32.07856750488281,127.54492950439453,9860.93
23,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.04995,0.10951,0.02015,0.00796,0.0052230073867579555,1.892245888710022,0.3050137162208557,0.453155517578125,0.46563175320625305,2.281909465789795,0.7014217972755432,2.206528663635254,45.58736038208008,138.3067626953125,8518.78
24,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.06477,0.10486,0.02821,0.01145,0.008391971887252946,1.8718361854553223,0.3213103115558624,0.45193690061569214,0.5567402839660645,2.678464651107788,0.41301968693733215,1.9979891777038574,44.24583435058594,139.2124481201172,7991.64
25,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.06133,0.11016,0.02675,0.01177,0.009525047995573969,1.8464146852493286,0.3327690064907074,0.44203126430511475,0.44534367322921753,2.1454074382781982,0.7323741912841797,2.208193302154541,56.067623138427734,125.35749816894531,9302.38
26,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.07273,0.11073,0.03158,0.01351,0.01040583129007241,1.8787288665771484,0.3198516070842743,0.44815289974212646,0.6195152997970581,3.0419106483459473,0.3634059727191925,1.7116127014160156,53.80277633666992,141.36688232421875,8448.01
27,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.05883,0.12114,0.03256,0.01443,0.011985610728819889,1.7867412567138672,0.35193607211112976,0.4031917452812195,0.6413880586624146,3.0966029167175293,0.3966425061225891,1.8518545627593994,44.08175277709961,113.00992584228516,7816.72
28,fdr,screen,fdr-screen-seed0-b54fbb2dfe73-2545f6830263,0.06725,0.10454,0.03122,0.01411,0.012046830223002975,1.8082963228225708,0.35147321224212646,0.40835440158843994,0.4907790422439575,2.3043460845947266,0.5755524635314941,2.1421353816986084,48.64056396484375,155.21824645996094,9366.59
