epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,train/ioqc_comp_loss,train/ioqc_align_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,val/ioqc_comp_loss,val/ioqc_align_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,39910,1.40354,0.36388,0.19586,0.55518,0.39778,0.27487,0.25913,0.18348,0.08824,1.04128,0.46926,0.12933,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,41169.3,1.342,0.38443,0.1739,0.5335,0.36236,0.31006,0.28373,0.21446,0.10585,0.9684,0.50413,0.11051,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,42471.1,1.38772,0.36897,0.18524,0.51253,0.40023,0.25298,0.22021,0.15172,0.06562,1.15624,0.42875,0.13983,0,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,43739.2,1.42252,0.35529,0.18692,0.52011,0.39758,0.27968,0.25169,0.17975,0.07405,1.10061,0.45382,0.12414,0,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,45048.1,1.46299,0.34001,0.20536,0.49584,0.44785,0.23877,0.19931,0.12996,0.05055,1.22269,0.39577,0.15371,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,46344.8,1.62188,0.29164,0.23436,0.53066,0.52072,0.29063,0.261,0.18404,0.08568,1.05865,0.46166,0.12536,0,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,47629.9,1.30958,0.38638,0.16935,0.51954,0.3344,0.29912,0.27815,0.20577,0.09954,1.03562,0.46079,0.11325,0,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,48920.3,1.27844,0.39754,0.15927,0.49605,0.34358,0.33794,0.3168,0.24694,0.12668,0.94034,0.49966,0.10274,0,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,50204.9,1.24934,0.40792,0.15778,0.48485,0.34166,0.33047,0.30127,0.23553,0.11361,0.98003,0.48365,0.10314,0,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,51448.2,1.26782,0.39918,0.15388,0.45004,0.34116,0.34293,0.3222,0.2544,0.12964,0.91425,0.50995,0.10023,0,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,52694,1.25571,0.40503,0.15338,0.4909,0.34833,0.34217,0.32523,0.25312,0.13278,0.90932,0.51267,0.09899,0,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,53911.8,1.22486,0.41039,0.14598,0.49783,0.31609,0.34168,0.31966,0.2541,0.12734,0.95231,0.48973,0.10136,0,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,55115.2,1.25062,0.4002,0.14915,0.45381,0.32532,0.36018,0.31011,0.25554,0.12837,0.96052,0.47918,0.10573,0,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,56329.6,1.24239,0.40427,0.14985,0.45671,0.32479,0.35266,0.32345,0.26506,0.13815,0.90921,0.49915,0.09771,0,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,57564.7,1.19797,0.41968,0.14407,0.49947,0.32424,0.35751,0.32919,0.26876,0.13975,0.9017,0.50451,0.09454,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,58806.6,1.1898,0.41899,0.13781,0.48171,0.30657,0.37605,0.34384,0.28215,0.14632,0.87488,0.51357,0.09137,0,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,60070.6,1.25119,0.39755,0.15138,0.4465,0.34118,0.36924,0.34271,0.28527,0.1493,0.88596,0.50598,0.09503,0,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,61307,1.29402,0.38588,0.15127,0.45452,0.35024,0.31993,0.27165,0.21098,0.09766,1.08387,0.4382,0.10583,0,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,62555.5,1.24113,0.39831,0.14572,0.44956,0.31497,0.36055,0.34885,0.27996,0.14848,0.8753,0.50502,0.09109,0,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,63787.5,1.21177,0.4064,0.14048,0.4573,0.31174,0.37773,0.34042,0.28575,0.15092,0.88172,0.50438,0.0911,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,65029.5,1.23467,0.39891,0.14706,0.41537,0.35428,0.38794,0.3274,0.27483,0.13954,0.91968,0.48867,0.09764,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,66251.4,1.20348,0.40675,0.13905,0.48182,0.30627,0.37219,0.34159,0.27907,0.14622,0.88881,0.50307,0.09256,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,67496.6,1.21157,0.40164,0.13842,0.45212,0.32538,0.38917,0.32799,0.27425,0.14191,0.93554,0.47036,0.09789,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,68698.7,1.24213,0.39523,0.14178,0.4607,0.33536,0.37506,0.3307,0.27424,0.13093,0.93159,0.49028,0.09469,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,69917,1.28641,0.37744,0.14716,0.44266,0.36543,0.37562,0.32388,0.26146,0.12922,0.96625,0.46673,0.10095,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,71133.2,1.26788,0.39221,0.14508,0.46249,0.34723,0.37109,0.34417,0.27944,0.14041,0.91032,0.49753,0.09195,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,72362.1,1.42244,0.33821,0.1694,0.41773,0.43176,0.25191,0.18917,0.13899,0.05504,1.26734,0.3802,0.13448,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,73586.1,1.29703,0.37496,0.15323,0.45936,0.32023,0.34983,0.31424,0.24896,0.11089,1.00423,0.46694,0.09635,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,74783.7,1.36264,0.36562,0.17098,0.4138,0.45085,0.35102,0.31774,0.25738,0.1289,0.94209,0.48487,0.09304,0,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,75987.5,1.35873,0.35579,0.1536,0.42232,0.32707,0.3383,0.29642,0.22908,0.11054,1.00538,0.45395,0.10178,0,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,77211.4,1.11557,0.42786,0.12384,0.46531,0.26267,0.39405,0.3614,0.3026,0.1544,0.87861,0.49958,0.08553,0,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,78395.8,1.42154,0.33671,0.16871,0.39832,0.37087,0.38034,0.31881,0.25966,0.13,0.98248,0.45709,0.0982,0,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
