completed_epoch,variant,stage,run_id,precision,recall,map50,map,map75,loss_giou,loss_class,loss_bbox,loss_fgl,loss_fgl_aux,loss_bbox_pre,loss_giou_pre,gradient_norm,fdr_gradient_norm,frequencycm_gradient_norm,cuda_peak_mib
11,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.29258,0.28967,0.20616,0.11697,0.11519004494256971,1.3014832735061646,0.44156140089035034,0.21963681280612946,0.6376479864120483,3.1597812175750732,0.289216011762619,1.6140363216400146,77.32086944580078,139.71253967285156,0.43795889616012573,11630.27
12,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.30214,0.29958,0.22131,0.12491,0.12098882829778086,1.2681893110275269,0.4471817910671234,0.2119474560022354,0.4825608432292938,2.268117904663086,0.3020385801792145,2.1636886596679688,96.42100524902344,77.57418060302734,0.4425415098667145,10269.1
13,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.32196,0.31148,0.23906,0.13691,0.13460870923148122,1.2555242776870728,0.44362854957580566,0.20524762570858002,0.5820417404174805,2.7008132934570312,0.2456875443458557,1.8826006650924683,88.6306381225586,116.77560424804688,0.4255932569503784,11507.13
14,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.34256,0.31359,0.25206,0.14667,0.1466558039684472,1.2276099920272827,0.44374504685401917,0.1995956301689148,0.667302131652832,3.2430641651153564,0.21794775128364563,1.7335176467895508,84.98790740966797,167.43324279785156,0.38759884238243103,11131.19
15,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.36523,0.33336,0.27035,0.15835,0.15776766371829204,1.2157081365585327,0.4397253394126892,0.19213718175888062,0.6115736961364746,2.9422764778137207,0.2786865830421448,1.7596544027328491,67.2009506225586,115.83953094482422,0.5284662246704102,15546.27
16,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.37615,0.34307,0.28322,0.16536,0.16396626490424007,1.190847396850586,0.4404749870300293,0.1898682415485382,0.4874313771724701,2.2972307205200195,0.40768226981163025,2.1129560470581055,71.88684844970703,58.78266906738281,0.504962682723999,12793.49
17,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.38787,0.33687,0.28972,0.16929,0.16895876428409543,1.1896588802337646,0.43647706508636475,0.18787232041358948,0.5238239765167236,2.5302436351776123,0.4617313742637634,1.9596643447875977,87.59908294677734,133.1016845703125,0.5742554664611816,11550.21
18,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.39738,0.3554,0.30694,0.18023,0.1802657031944675,1.163438081741333,0.4378741681575775,0.18124336004257202,0.744678795337677,3.667073965072632,0.20597748458385468,1.5009734630584717,85.97405242919922,116.32926940917969,0.446074515581131,10011.73
19,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.39871,0.35755,0.3095,0.1796,0.1790635211834636,1.149739384651184,0.4355515241622925,0.1731884926557541,0.6442456245422363,3.1319000720977783,0.2730220854282379,1.7232098579406738,71.54763793945312,136.68238830566406,0.5051431059837341,8968.35
20,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.42247,0.37048,0.32875,0.19052,0.189566894480538,1.1258529424667358,0.4399181604385376,0.17035230994224548,0.6544643640518188,3.20631742477417,0.26584506034851074,1.6864192485809326,74.04989624023438,99.48439025878906,0.5171110033988953,10527.94
21,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.41617,0.37281,0.32853,0.19405,0.19399092346966407,1.1287899017333984,0.43415698409080505,0.1696281135082245,0.756587028503418,3.8070061206817627,0.26089075207710266,1.4666193723678589,75.00350952148438,106.12677764892578,0.5901910066604614,14325.2
22,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.42435,0.38619,0.33671,0.19806,0.1970180023322122,1.1159851551055908,0.4324529469013214,0.16456277668476105,0.7452989220619202,3.618887424468994,0.18975146114826202,1.5577298402786255,69.64576721191406,126.18717193603516,0.4739457070827484,12838.32
23,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.43575,0.38449,0.34452,0.20121,0.20142551558634855,1.0944721698760986,0.43596577644348145,0.15867412090301514,0.8611236214637756,4.220229148864746,0.21540822088718414,1.3569737672805786,79.25707244873047,161.98301696777344,0.4045630693435669,10708.1
24,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.44747,0.38937,0.35569,0.20988,0.21137530707169608,1.0875654220581055,0.43399578332901,0.16114260256290436,0.5890166759490967,2.9007389545440674,0.2895861864089966,1.7840442657470703,97.25110626220703,177.1206817626953,0.4869556427001953,11348.95
25,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.46219,0.38954,0.36178,0.21231,0.21267495327686886,1.051276445388794,0.4391498267650604,0.15292035043239594,0.6323233842849731,3.0398495197296143,0.37141284346580505,1.7932099103927612,77.05447387695312,136.28868103027344,0.5398045182228088,13293.29
26,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.45244,0.39481,0.36292,0.21425,0.21386900203238488,1.0700429677963257,0.4341115355491638,0.15559694170951843,0.6687184572219849,3.2487504482269287,0.22044602036476135,1.672866940498352,75.13594055175781,99.5925064086914,0.4880988597869873,9380.09
27,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.45285,0.39523,0.36131,0.21471,0.21788548434350377,1.059831976890564,0.4334545433521271,0.15590688586235046,0.8686254024505615,4.435554504394531,0.15339349210262299,1.1358989477157593,91.56309509277344,109.61857604980469,0.4348398447036743,11248.5
28,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.46544,0.39949,0.3716,0.2202,0.2221776213934485,1.0539013147354126,0.4328233599662781,0.15392464399337769,0.6900519132614136,3.292867660522461,0.21326901018619537,1.578492522239685,99.87925720214844,161.07391357421875,0.4906310737133026,11308.49
29,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.48332,0.39901,0.37166,0.22033,0.2223702586558844,1.0393555164337158,0.43309319019317627,0.15218785405158997,0.712449312210083,3.4404590129852295,0.18623708188533783,1.584057092666626,83.80792236328125,108.8317642211914,0.45675551891326904,12905.9
30,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.47836,0.40943,0.38141,0.22636,0.2256252697787886,1.047904133796692,0.4305100440979004,0.15091472864151,0.6523223519325256,3.0910122394561768,0.23727235198020935,1.7673412561416626,91.77779388427734,88.9344482421875,0.41698601841926575,10163.11
31,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.48999,0.41213,0.38792,0.2306,0.23177722282925778,1.0356117486953735,0.43119242787361145,0.15194427967071533,0.9246864914894104,4.6338114738464355,0.12450509518384933,1.142906665802002,105.88697814941406,171.9979705810547,0.511604905128479,15202.31
32,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.48873,0.41166,0.38889,0.23056,0.2327702099142975,1.0303300619125366,0.43143540620803833,0.14836791157722473,0.7849507331848145,3.8978703022003174,0.1957598626613617,1.3533676862716675,87.05117797851562,98.3731918334961,0.5249110460281372,12479.27
33,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.49894,0.41679,0.39552,0.2355,0.23549336947716687,1.0272160768508911,0.42867138981819153,0.14711830019950867,0.5024486780166626,2.4198572635650635,0.24351182579994202,2.0333473682403564,88.53213500976562,124.09423828125,0.5722612142562866,12792.29
34,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.48974,0.4217,0.3938,0.23283,0.23469797942076456,1.0228230953216553,0.4291776418685913,0.1443256288766861,0.7654262185096741,3.7857789993286133,0.19615478813648224,1.4704675674438477,67.85042572021484,157.2981719970703,0.43021348118782043,17261.57
35,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.50132,0.42047,0.40083,0.23737,0.23881283105962833,1.0045019388198853,0.4329104721546173,0.14232659339904785,0.8050790429115295,4.0096611976623535,0.1680343747138977,1.3454989194869995,72.32991027832031,150.4678955078125,0.49644678831100464,10173.38
36,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.49501,0.43136,0.40135,0.23676,0.23626931026507733,0.9859442710876465,0.43618324398994446,0.1366768777370453,0.6983994245529175,3.411667585372925,0.1965920478105545,1.5685826539993286,91.19099426269531,162.3810577392578,0.47543299198150635,16873.36
