completed_epoch,variant,stage,run_id,precision,recall,map50,map,map75,loss_giou,loss_class,loss_bbox,loss_fgl,loss_fgl_aux,loss_bbox_pre,loss_giou_pre,gradient_norm,fdr_gradient_norm,frequencycm_gradient_norm,cuda_peak_mib
1,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.40245,0.0076,0.00019,4e-05,6.33445945945946e-07,2.409731388092041,0.44154977798461914,0.9385526180267334,0.13616943359375,0.69215989112854,1.225576639175415,2.6381852626800537,31.4943904876709,42.838478088378906,0.014605172909796238,11558.55
2,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.03193,0.06372,0.00825,0.00274,0.0014322018759516618,2.271034002304077,0.14432024955749512,0.7238740921020508,0.30215564370155334,1.4210478067398071,0.7836686372756958,2.3031632900238037,34.07695770263672,67.8902816772461,0.018791303038597107,13009.36
3,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.05803,0.09689,0.02539,0.01086,0.008328937065373968,1.936935544013977,0.2927391231060028,0.5111715197563171,0.6434102654457092,2.996636390686035,0.32447102665901184,1.7669521570205688,52.189754486083984,106.94745635986328,0.04031391069293022,10423.8
4,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.09811,0.13264,0.04798,0.02379,0.022398677394380305,1.7574992179870605,0.3648782968521118,0.40571826696395874,0.6244444847106934,2.8278071880340576,0.37221238017082214,1.9849042892456055,60.26962661743164,105.9755630493164,0.151870995759964,12878.18
5,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.14999,0.17347,0.07948,0.04113,0.03901585015669173,1.602484107017517,0.4047967195510864,0.32895195484161377,0.6486503481864929,3.0875306129455566,0.2908664643764496,1.74373197555542,69.17765808105469,101.53480529785156,0.24423661828041077,11386.53
6,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.17451,0.20176,0.10516,0.05668,0.05412412572667662,1.533428430557251,0.4149588942527771,0.296867311000824,0.7287521362304688,3.4895012378692627,0.2633405029773712,1.5281089544296265,77.69337463378906,116.25897216796875,0.2316388487815857,15513.09
7,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.18687,0.20014,0.11499,0.06261,0.060075373709149706,1.4471298456192017,0.43188390135765076,0.2677152156829834,0.42426416277885437,1.8644505739212036,0.3693438172340393,2.2630624771118164,76.14664459228516,106.86588287353516,0.29896798729896545,15652.02
8,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.22025,0.24511,0.15002,0.08317,0.0810359666419401,1.405441403388977,0.4354773163795471,0.25527456402778625,0.6502920389175415,3.0505259037017822,0.2825297713279724,1.787361979484558,67.4752197265625,101.60372924804688,0.3198738992214203,10515.5
9,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.25373,0.26491,0.17482,0.09737,0.09407677899972809,1.3586654663085938,0.44101980328559875,0.24222151935100555,0.6130144596099854,3.0126898288726807,0.2933019697666168,1.6815803050994873,73.85520935058594,35.094120025634766,0.3128974437713623,13434.8
10,fdr_frequencycm,formal,fdr_frequencycm-formal-seed0-2346c8cd4180-2545f6830263,0.28905,0.27867,0.19832,0.11088,0.10778416186095932,1.3159934282302856,0.44580888748168945,0.22634971141815186,0.605979323387146,2.942378044128418,0.31970497965812683,1.8011113405227661,60.268951416015625,136.0882568359375,0.27983853220939636,14533.23
