epoch,precision,recall,f1,ap50,ap75,map50_95,loss_bpdd,bpdd_active_edge_ratio,ra_glgm_gradient_norm,epoch_wall_seconds
45,0.53437,0.4424,0.4840551777798254,0.43052,0.2590364197879349,0.2566,0.044189147651195526,0.5895611643791199,1.7328749895095825,463.403
46,0.52848,0.44971,0.48592347253601037,0.43325,0.26009336002206795,0.25871,0.056454114615917206,0.5867529511451721,2.0764496326446533,583.452
47,0.52806,0.44898,0.48531969786293294,0.43764,0.263082270398686,0.26001,0.0637248232960701,0.5880773663520813,3.544529914855957,505.705
48,0.53172,0.44962,0.4872357111704404,0.43502,0.2632319823195083,0.26012,0.10720597952604294,0.5883379578590393,1.4592866897583008,596.583
49,0.54384,0.44614,0.4901690490716984,0.44222,0.26470439652046573,0.26317,0.06263794749975204,0.5873857140541077,2.2616238594055176,584.663
50,0.54038,0.45444,0.4936979296757202,0.44037,0.2669372510746497,0.26438,0.09218736737966537,0.5856603980064392,1.9451210498809814,614.553
51,0.53712,0.45765,0.49421065773998013,0.4468,0.26952370078676935,0.26722,0.03767462447285652,0.587778627872467,2.0973026752471924,483.311
52,0.54649,0.45356,0.49570722343882806,0.44835,0.2711467836161698,0.26826,0.06644485890865326,0.5846303701400757,2.5429131984710693,589.219
53,0.53983,0.45216,0.4921209544451053,0.4425,0.2684157441251108,0.26566,0.05257878825068474,0.5852646827697754,2.146544933319092,493.741
54,0.5393,0.46222,0.4977938453550603,0.44885,0.2695930795814541,0.26864,0.04379423335194588,0.5857158303260803,2.517455577850342,603.31
55,0.54083,0.46839,0.5020101934166981,0.45194,0.2744732085904509,0.27071,0.040298812091350555,0.5841541290283203,2.3814170360565186,546.382
56,0.5461,0.46169,0.5003600134948749,0.45154,0.27436931955202737,0.26998,0.0758185014128685,0.5827881693840027,2.4543373584747314,587.19
57,0.54372,0.46948,0.503880113699171,0.4537,0.276543584326343,0.27323,0.050782714039087296,0.5822257995605469,2.544801950454712,581.624
58,0.54539,0.47218,0.506151419951453,0.4589,0.2798469686609303,0.2759,0.06858410686254501,0.5786186456680298,2.718243360519409,591.091
59,0.54362,0.47136,0.5049177780842973,0.45663,0.27819287120571456,0.2742,0.07041703909635544,0.5799614787101746,2.7600443363189697,567.255
60,0.5405,0.47054,0.5030995212850135,0.45808,0.2799249318846607,0.27515,0.05247625336050987,0.5781254768371582,2.8136634826660156,558.516
61,0.5447,0.46873,0.5038675211904127,0.45699,0.2816506447685652,0.27488,0.04937335476279259,0.5786586403846741,2.9014694690704346,475.053
62,0.54901,0.47411,0.5088183812260535,0.45991,0.28117224631934157,0.27702,0.03864379599690437,0.5751726031303406,2.852801561355591,583.36
63,0.55391,0.47722,0.5127131015487862,0.46083,0.278073409923429,0.27584,0.07492725551128387,0.5747112035751343,2.877228021621704,562.613
64,0.56313,0.46968,0.5121772608708282,0.46219,0.28197379867251515,0.27778,0.04907428100705147,0.5731680989265442,3.3656210899353027,604.816
65,0.55912,0.48084,0.517033848994192,0.46629,0.2831697019310745,0.27962,0.05405328795313835,0.573017418384552,2.7255494594573975,589.469
66,0.55943,0.48,0.5166801035182745,0.46758,0.2831907551896979,0.28059,0.03027379885315895,0.5722683668136597,3.219118356704712,481.598
67,0.55933,0.47686,0.5148131207597063,0.46622,0.28285997086861076,0.2798,0.07941155880689621,0.5723603367805481,4.250041484832764,467.575
68,0.56575,0.47258,0.5149848988279256,0.46727,0.2862678019812835,0.28111,0.09390522539615631,0.5723441243171692,3.1886136531829834,458.053
69,0.56011,0.4811,0.5176072473372327,0.47085,0.28832869141295536,0.2832,0.037060633301734924,0.5692055225372314,2.8906121253967285,463.908
70,0.55239,0.48608,0.5171179354242299,0.46639,0.28476990240395483,0.28016,0.04855235293507576,0.5668466091156006,3.5445609092712402,461.462
71,0.56449,0.48158,0.5197493364688788,0.47089,0.285741199560036,0.28194,0.023006780073046684,0.5684492588043213,2.8724355697631836,461.816
72,0.56994,0.47478,0.5180260992419021,0.47085,0.286228894997808,0.28208,0.09698615968227386,0.5646013021469116,3.486910820007324,460.661
73,0.56801,0.4783,0.5193091588534946,0.47258,0.2836755925836098,0.28184,0.07840162515640259,0.5661208033561707,3.2390599250793457,460.97
74,0.56954,0.48058,0.5212919155905992,0.47147,0.28766079039546233,0.28282,0.030277805402874947,0.5644463300704956,3.546377658843994,460.526
75,0.56343,0.48027,0.5185369859154929,0.47215,0.28600943853257627,0.28275,0.07642709463834763,0.563468337059021,4.26361083984375,458.236
76,0.56489,0.48362,0.5211053815414254,0.47148,0.2872912966273643,0.28306,0.02358492836356163,0.559108555316925,3.3038077354431152,453.908
77,0.56776,0.48317,0.522060649519949,0.47181,0.28643359906329957,0.28244,0.04816826805472374,0.5614700317382812,3.742946147918701,456.879
78,0.56835,0.48147,0.5213150340058297,0.47366,0.28966675800573816,0.28457,0.09610408544540405,0.5595937371253967,3.7216310501098633,457.832
79,0.56558,0.48524,0.5223388195885119,0.47479,0.28759408913813017,0.28427,0.026439296081662178,0.5580453872680664,4.0712571144104,453.705
80,0.56076,0.48959,0.5227638185366782,0.47447,0.2909410844610044,0.28537,0.02564665675163269,0.5568972826004028,3.8920793533325195,456.712
81,0.5606,0.49112,0.523564964058875,0.47814,0.28913519198176185,0.28619,0.027250638231635094,0.5543289184570312,4.9718475341796875,459.43
82,0.57705,0.48355,0.5261786300207429,0.47714,0.2913612707126014,0.28572,0.03522936999797821,0.5521048307418823,3.4763097763061523,589.233
83,0.57172,0.48944,0.5273900953673337,0.47741,0.29297217863178593,0.28669,0.016174286603927612,0.551841139793396,3.732898235321045,504.351
84,0.57668,0.4861,0.5275299648092737,0.47705,0.29115475860990364,0.28586,0.027685996145009995,0.5525577664375305,3.9275333881378174,616.543
85,0.57098,0.48924,0.5269590371809624,0.4783,0.2902104073938563,0.28634,0.01786784827709198,0.5466213822364807,3.965550661087036,451.491
