metric,fdr,scads,absolute_delta,relative_delta_pct
parameters,33156614.000000000,33174025.000000000,17411.000000000,0.052511
checkpoint_bytes,200013657.000000000,200226436.000000000,212779.000000000,0.106382
latency_ms_median,63.620096207,67.201023102,3.580926895,5.628610
latency_ms_p95,64.434173584,68.027389526,3.593215942,5.576569
fps_from_median,15.718303801,14.880725826,-0.837577975,-5.328679
