metric,unit,control,glgm,absolute_delta,relative_percent
parameters,count,67324002,73963081,6639079,9.861384948565595
mean_ms,ms/image,47.66443178999907,48.241031549769104,0.5765997597700334,1.2097065633981088
p50_ms,ms/image,47.55513399868505,48.16334499992081,0.6082110012357589,1.2789597044402747
p95_ms,ms/image,48.03763279669511,49.07932619971689,1.0416934030217817,2.168494453984519
fps,images/s,20.98000463754232,20.729241640870057,-0.2507629966722611,-1.1952475750340752
peak_allocated_vram_bytes,bytes,231508480,242866688,11358208,4.906173631307156
