metric,control,glgm,absolute_delta,percentage_point_delta,relative_percent
precision,0.600493199277421,0.5962866441369854,-0.004206555140435553,-0.4206555140435553,-0.700516699522549
recall,0.5016045773577067,0.49521038124574773,-0.006394196111958961,-0.6394196111958961,-1.2747483576887497
f1,0.5414627038131855,0.5372332263741131,-0.004229477439072427,-0.42294774390724266,-0.7811207326537625
ap50,0.5030940670292537,0.5007153211562069,-0.0023787458730468725,-0.23787458730468725,-0.47282328076203567
ap75,0.30046764148625016,0.3014563700157642,0.000988728529514038,0.0988728529514038,0.32906323110979113
map50_95,0.2999272626262654,0.3001110677306302,0.00018380510436477593,0.018380510436477593,0.06128322672481179
