metric,control,glgm,absolute_delta,percentage_point_delta,relative_percent
precision,0.5926682748300506,0.5962866441369854,0.003618369306934821,0.3618369306934821,0.6105218484948262
recall,0.502840839856133,0.49521038124574773,-0.0076304586103853045,-0.7630458610385304,-1.5174699438829278
f1,0.539018210039098,0.5372332263741131,-0.0017849836649849182,-0.17849836649849182,-0.33115461254183665
ap50,0.5028950395117494,0.5007153211562069,-0.002179718355542537,-0.2179718355542537,-0.4334340536861889
ap75,0.30108952429694474,0.3014563700157642,0.00036684571881945294,0.036684571881945294,0.1218394162586863
map50_95,0.2998183130938103,0.3001110677306302,0.0002927546368198808,0.02927546368198808,0.09764401440290962
