epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,577.26,2.35491,0.23917,0.83154,0.51002,0.016,0.00334,0.00066,1.89374,0.26055,0.45892,0.000237265,0.000237265,0.000237265
2,1047.64,2.00901,0.26649,0.55234,0.3495,0.09342,0.0263,0.01115,1.59058,0.42336,0.33279,0.000470415,0.000470415,0.000470415
3,1510.59,1.85228,0.34988,0.45134,0.18833,0.14314,0.0467,0.0217,1.51608,0.42593,0.29779,0.000698706,0.000698706,0.000698706
4,1934.94,1.72374,0.3838,0.37796,0.20363,0.17591,0.06288,0.02975,1.32006,0.48986,0.22077,0.000692138,0.000692138,0.000692138
5,2281.88,1.59105,0.41348,0.32043,0.17135,0.19203,0.10015,0.04869,1.20055,0.4989,0.18075,0.000684851,0.000684851,0.000684851
