epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14460.6,1.02856,0.43203,0.14673,0.48947,0.40888,0.39116,0.23053,0.7815,0.48814,0.09085,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14897,1.01265,0.43295,0.14397,0.49987,0.41636,0.39422,0.23191,0.78166,0.48897,0.09076,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,15336.6,1.01742,0.43164,0.14375,0.48834,0.4244,0.40167,0.23663,0.78162,0.4868,0.09085,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,15777.9,1.00037,0.43414,0.14323,0.50702,0.42142,0.40566,0.24047,0.76624,0.48776,0.08838,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,16215.9,0.97694,0.4391,0.13365,0.51096,0.42321,0.40529,0.23881,0.76796,0.48711,0.08871,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,16648.6,0.97796,0.43653,0.1343,0.50693,0.42894,0.41004,0.24338,0.75532,0.48981,0.08548,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,17084.1,0.96538,0.43745,0.13442,0.51223,0.42888,0.41481,0.24662,0.75599,0.48643,0.08625,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,17523.4,0.96369,0.43628,0.129,0.4991,0.4403,0.4141,0.24578,0.75836,0.48818,0.08823,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17961.8,0.95518,0.4372,0.12598,0.50786,0.43885,0.41587,0.24836,0.73965,0.49021,0.08408,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,18402.6,0.95176,0.4387,0.12848,0.5094,0.44162,0.41966,0.25002,0.74296,0.4894,0.08323,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18841.7,0.94061,0.43918,0.12577,0.51946,0.4445,0.4221,0.25036,0.74531,0.48847,0.08502,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
