epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1
1,600.814,0.85356,0.46567,0.0894,0.5111,0.43581,0.41448,0.24177,0.70939,0.51533,0.07296,0.0001,0.0001
2,1209.82,0.85219,0.46455,0.08869,0.51081,0.43546,0.41416,0.24172,0.7094,0.51523,0.07296,0.0001,0.0001
3,1807.33,0.85629,0.46388,0.08921,0.51042,0.43536,0.41413,0.24169,0.70941,0.51522,0.07298,0.0001,0.0001
